,file,gender,mfcc
0,VoxCeleb_gender/males/255.wav,males,"[[-266.89233    -288.64322    -288.0051     ... -685.8922
  -685.8922     -685.8922    ]
 [  79.592476     26.673538      7.6092668  ...    0.
     0.            0.        ]
 [  40.56708      77.108734     91.04158    ...    0.
     0.            0.        ]
 ...
 [  16.491762     12.125517     13.885246   ...    0.
     0.            0.        ]
 [   2.269635      6.694189      0.73315436 ...    0.
     0.            0.        ]
 [   5.2696896    13.936777     11.99409    ...    0.
     0.            0.        ]]"
1,VoxCeleb_gender/males/1908.wav,males,"[[-3.6222406e+02 -3.3846970e+02 -3.3541837e+02 ... -8.4559741e+02
  -8.4559741e+02 -8.4559741e+02]
 [ 6.5203636e+01  7.4427147e+01  7.6193268e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.9063938e+01 -5.2346588e+01 -5.3448288e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 8.4282923e-01  8.9748039e+00 -5.7483182e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.2855806e+00 -8.6458206e+00 -1.2514672e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.8896980e+01  1.8595834e+00 -2.0259373e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
2,VoxCeleb_gender/males/2965.wav,males,"[[-4.0710593e+02 -3.7589368e+02 -3.8620200e+02 ... -7.6667456e+02
  -7.6667456e+02 -7.6667456e+02]
 [ 8.7365158e+01  9.7139313e+01  9.8045975e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.4337528e+01  6.4333534e+01  6.7995705e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-2.7537209e-01 -1.8028988e+01 -2.1340561e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.7197742e+00 -9.1384392e+00 -7.3660164e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.3640213e+00 -1.0749103e+01  4.4836173e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
3,VoxCeleb_gender/males/2733.wav,males,"[[-299.1009    -257.6437    -261.46454   ... -735.07385   -735.07385
  -735.07385  ]
 [ 129.72388    140.84506    111.62074   ...    0.           0.
     0.       ]
 [ -12.729125   -15.266241   -14.806571  ...    0.           0.
     0.       ]
 ...
 [ -11.007602    -6.508485   -18.3916    ...    0.           0.
     0.       ]
 [  -5.2581687  -10.444032   -23.87881   ...    0.           0.
     0.       ]
 [  18.16187     -1.2865869  -12.439255  ...    0.           0.
     0.       ]]"
4,VoxCeleb_gender/males/3091.wav,males,"[[-2.59804718e+02 -2.88658417e+02 -2.85533752e+02 ... -7.31880432e+02
  -7.31880432e+02 -7.31880432e+02]
 [ 1.16584198e+02  1.63243317e+02  1.63520279e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.44684105e+01 -7.31885672e+00 -5.44370270e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-2.87516189e+00 -6.79070294e-01 -5.41318607e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-7.61874008e+00 -7.33493996e+00 -1.61366043e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.67205882e+00 -1.08263044e+01 -1.01327534e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
5,VoxCeleb_gender/males/2695.wav,males,"[[-229.82712   -203.70465   -185.9849    ... -626.563     -640.5595
  -672.57983  ]
 [  53.33795     38.966713    45.477127  ...   22.019169    25.006807
    10.963303 ]
 [  40.540756    44.568237    36.575577  ...  -17.69735     -8.479572
    -1.8821774]
 ...
 [  26.298927    26.977772    11.053598  ...   -3.5486302    9.975546
    -1.4595176]
 [  22.685513     4.960149    -2.5745153 ...   -5.631061     1.8037758
    -2.1509972]
 [  -3.6572313   -2.9558256   -4.746603  ...    3.3979645   -2.7718654
    -1.4166889]]"
6,VoxCeleb_gender/males/3503.wav,males,"[[-239.06764   -193.67014   -176.82874   ... -716.71173   -716.71173
  -716.71173  ]
 [ 104.80494     98.65962     92.36104   ...    0.           0.
     0.       ]
 [  27.000656    23.245049    19.919422  ...    0.           0.
     0.       ]
 ...
 [ -16.288986   -13.363054    -9.291038  ...    0.           0.
     0.       ]
 [  14.381863     7.540614    11.566025  ...    0.           0.
     0.       ]
 [   2.024948    -1.826851    -0.9865409 ...    0.           0.
     0.       ]]"
7,VoxCeleb_gender/males/2894.wav,males,"[[-3.6476361e+02 -3.2766531e+02 -3.6348026e+02 ... -8.4020520e+02
  -8.4020520e+02 -8.4020520e+02]
 [ 1.0746806e+02  1.1539412e+02  1.0846472e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.8994888e+01 -5.6996040e+01 -2.9969328e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 2.7024679e+01  1.2575022e+01 -6.7552066e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.2051304e+01  2.2238934e+01  1.6249844e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-9.2556019e+00 -6.5597906e+00 -7.0163333e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
8,VoxCeleb_gender/males/3561.wav,males,"[[-246.90749    -290.24805    -366.82553    ... -270.15857
  -282.4028     -355.3977    ]
 [  98.04256      73.73909      79.60318    ...  127.98941
   121.972916     97.21472   ]
 [  -7.2667546    19.288067     56.60785    ...  -14.738836
   -12.614966      1.5377712 ]
 ...
 [ -16.093817     -4.156968    -15.389276   ...   -6.7837086
    -6.915078    -15.821074  ]
 [  -4.8702946    -7.31328     -10.521151   ...   13.577745
    15.917788     17.775126  ]
 [   7.625736      0.98743427   -8.394708   ...    6.1959505
     6.219819     14.6095085 ]]"
9,VoxCeleb_gender/males/367.wav,males,"[[-1.6309705e+02 -2.2450108e+02 -2.3745284e+02 ... -7.3863989e+02
  -7.3863989e+02 -7.3863989e+02]
 [ 9.0107300e+01  1.5281104e+02  1.7301627e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.4292084e-01  8.6269102e+00  1.0654057e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 3.2239220e+00  2.7284584e+00  1.6954947e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.1836765e-01  7.1538935e+00  7.2436132e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.4345497e+00 -1.9680632e+01 -1.4151489e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]"
